Homo sapiens,Caenorhabditis elegans,Relations,ID
6319,178122,n:m,
6319,179100,n:m,
6319,180162,n:m,869273
4714,175038,01:01,937263
84545,182876,01:01,943965
56652,180845,01:01,
81855,181807,n:m,
81855,174708,n:m,
81855,183547,n:m,958310
81855,181353,n:m,
8945,174058,n:1,
10724,181164,01:01,938594
9221,266845,01:01,
83401,183948,n:1,
8729,176609,01:01,557603
10121,175162,n:1,550402
403,175121,01:01,853166
118980,181054,01:01,958309
22978,CAEEL18434,n:1,799872
729020,176043,n:1,
6877,172552,01:01,593734
22984,175906,01:01,574198
9148,181767,n:1,948608
9748,181488,n:1,597808
9446,13190517,n:m,
9446,353420,n:m,
9446,184405,n:m,927028
119391,13190517,n:m,
119391,353420,n:m,
119391,184405,n:m,
7511,172118,01:01,893357
120,180760,n:1,
10285,175281,01:01,
9126,CAEEL08933,01:01,593676
8036,177286,01:01,595500
51703,171643,n:1,
64429,178158,01:01,
143187,178397,01:01,795937
55088,176674,01:01,595762
3983,181227,01:01,594805
26033,CAEEL20456,n:1,
6571,180837,n:1,
8661,176094,01:01,
2869,181212,n:1,
7073,173967,n:m,594474
7073,174909,n:m,
55717,172144,01:01,879480
11101,172800,01:01,
36,172351,1:m,911725
36,172358,1:m,
36,172367,1:m,
9184,175018,01:01,539527
4942,175908,01:01,918223
64077,179661,01:01,784100
1793,177942,n:1,
10539,178828,01:01,802094
55844,172826,n:1,
282974,176456,n:1,594556
3632,180871,01:01,857378
1892,173300,1:m,
1892,176376,1:m,954549
HUMAN03825,175306,n:1,931765
92170,175306,n:1,
1571,185653,n:m,
1571,183602,n:m,
1571,178704,n:m,
1571,181848,n:m,
1571,187209,n:m,
1571,182888,n:m,
1571,188399,n:m,
